title,url,rating
Forrest Gump (1994),https://www.imdb.com/title/tt0109830/,341
Pulp Fiction (1994),https://www.imdb.com/title/tt0110912/,324
"Shawshank Redemption, The (1994)",https://www.imdb.com/title/tt0111161/,311
"Silence of the Lambs, The (1991)",https://www.imdb.com/title/tt0102926/,304
Star Wars: Episode IV - A New Hope (1977),https://www.imdb.com/title/tt076759/,291
Jurassic Park (1993),https://www.imdb.com/title/tt0107290/,274
"Matrix, The (1999)",https://www.imdb.com/title/tt0133093/,259
Toy Story (1995),https://www.imdb.com/title/tt0114709/,247
Schindler's List (1993),https://www.imdb.com/title/tt0108052/,244
Terminator 2: Judgment Day (1991),https://www.imdb.com/title/tt0103064/,237
Star Wars: Episode V - The Empire Strikes Back (1980),https://www.imdb.com/title/tt080684/,234
Braveheart (1995),https://www.imdb.com/title/tt0112573/,228
Back to the Future (1985),https://www.imdb.com/title/tt088763/,226
Fargo (1996),https://www.imdb.com/title/tt0116282/,224
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),https://www.imdb.com/title/tt082971/,220
American Beauty (1999),https://www.imdb.com/title/tt0169547/,220
Independence Day (a.k.a. ID4) (1996),https://www.imdb.com/title/tt0116629/,218
Star Wars: Episode VI - Return of the Jedi (1983),https://www.imdb.com/title/tt086190/,217
Aladdin (1992),https://www.imdb.com/title/tt0103639/,215
"Fugitive, The (1993)",https://www.imdb.com/title/tt0106977/,213
Fight Club (1999),https://www.imdb.com/title/tt0137523/,202
Dances with Wolves (1990),https://www.imdb.com/title/tt099348/,202
Seven (a.k.a. Se7en) (1995),https://www.imdb.com/title/tt0114369/,201
"Usual Suspects, The (1995)",https://www.imdb.com/title/tt0114814/,201
Apollo 13 (1995),https://www.imdb.com/title/tt0112384/,200
"Lion King, The (1994)",https://www.imdb.com/title/tt0110357/,200
"Godfather, The (1972)",https://www.imdb.com/title/tt068646/,200
"Lord of the Rings: The Fellowship of the Ring, The (2001)",https://www.imdb.com/title/tt0120737/,200
True Lies (1994),https://www.imdb.com/title/tt0111503/,198
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://www.imdb.com/title/tt0114746/,196
Batman (1989),https://www.imdb.com/title/tt096895/,196
"Sixth Sense, The (1999)",https://www.imdb.com/title/tt0167404/,193
Saving Private Ryan (1998),https://www.imdb.com/title/tt0120815/,191
Men in Black (a.k.a. MIB) (1997),https://www.imdb.com/title/tt0119654/,190
"Lord of the Rings: The Two Towers, The (2002)",https://www.imdb.com/title/tt0167261/,188
Speed (1994),https://www.imdb.com/title/tt0111257/,180
Beauty and the Beast (1991),https://www.imdb.com/title/tt0101414/,176
"Lord of the Rings: The Return of the King, The (2003)",https://www.imdb.com/title/tt0167260/,176
Ace Ventura: Pet Detective (1994),https://www.imdb.com/title/tt0109040/,175
Shrek (2001),https://www.imdb.com/title/tt0126029/,174
Mission: Impossible (1996),https://www.imdb.com/title/tt0117060/,168
Groundhog Day (1993),https://www.imdb.com/title/tt0107048/,165
Titanic (1997),https://www.imdb.com/title/tt0120338/,164
"Princess Bride, The (1987)",https://www.imdb.com/title/tt093779/,163
Gladiator (2000),https://www.imdb.com/title/tt0172495/,161
E.T. the Extra-Terrestrial (1982),https://www.imdb.com/title/tt083866/,160
Dumb & Dumber (Dumb and Dumber) (1994),https://www.imdb.com/title/tt0109686/,158
"Terminator, The (1984)",https://www.imdb.com/title/tt088247/,158
"Mask, The (1994)",https://www.imdb.com/title/tt0110475/,157
Good Will Hunting (1997),https://www.imdb.com/title/tt0119217/,157
Mrs. Doubtfire (1993),https://www.imdb.com/title/tt0107614/,153
Die Hard (1988),https://www.imdb.com/title/tt095016/,151
Twister (1996),https://www.imdb.com/title/tt0117998/,150
Babe (1995),https://www.imdb.com/title/tt0112431/,148
Willy Wonka & the Chocolate Factory (1971),https://www.imdb.com/title/tt067992/,148
Pretty Woman (1990),https://www.imdb.com/title/tt0100405/,147
Indiana Jones and the Last Crusade (1989),https://www.imdb.com/title/tt097576/,147
Ghostbusters (a.k.a. Ghost Busters) (1984),https://www.imdb.com/title/tt087332/,147
Blade Runner (1982),https://www.imdb.com/title/tt083658/,146
Monty Python and the Holy Grail (1975),https://www.imdb.com/title/tt071853/,145
Stargate (1994),https://www.imdb.com/title/tt0111282/,145
One Flew Over the Cuckoo's Nest (1975),https://www.imdb.com/title/tt073486/,144
Die Hard: With a Vengeance (1995),https://www.imdb.com/title/tt0112864/,142
Pirates of the Caribbean: The Curse of the Black Pearl (2003),https://www.imdb.com/title/tt0325980/,141
Star Wars: Episode I - The Phantom Menace (1999),https://www.imdb.com/title/tt0120915/,138
"Truman Show, The (1998)",https://www.imdb.com/title/tt0120382/,137
"Godfather: Part II, The (1974)",https://www.imdb.com/title/tt071562/,135
"Rock, The (1996)",https://www.imdb.com/title/tt0117500/,135
Spider-Man (2002),https://www.imdb.com/title/tt0145487/,134
Ferris Bueller's Day Off (1986),https://www.imdb.com/title/tt091042/,133
Memento (2000),https://www.imdb.com/title/tt0209144/,132
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),https://www.imdb.com/title/tt0110413/,132
Reservoir Dogs (1992),https://www.imdb.com/title/tt0105236/,132
Goodfellas (1990),https://www.imdb.com/title/tt099685/,131
"Monsters, Inc. (2001)",https://www.imdb.com/title/tt0198781/,130
Ocean's Eleven (2001),https://www.imdb.com/title/tt0240772/,130
Home Alone (1990),https://www.imdb.com/title/tt099785/,129
Batman Forever (1995),https://www.imdb.com/title/tt0112462/,129
